framework              , test                                                         , time     , metrics                                                                                         
reflex                 , avoidablePropagation                                         , 0.99     ,                                                                                                 
reflex                 , broadPropagation                                             , 0.89     ,                                                                                                 
reflex                 , deepPropagation                                              , 0.29     ,                                                                                                 
reflex                 , diamond                                                      , 0.80     ,                                                                                                 
reflex                 , mux                                                          , 0.67     ,                                                                                                 
reflex                 , repeatedObservers                                            , 0.16     ,                                                                                                 
reflex                 , triangle                                                     , 0.24     ,                                                                                                 
reflex                 , unstable                                                     , 0.25     ,                                                                                                 
reflex                 , manyEffectsFromOneSource                                     , 225.41   ,                                                                                                 
reflex                 , manySourcesIntoOneComputedEffectWithDirect                   , 90.56    ,                                                                                                 
reflex                 , manySourcesIntoOneComputedEffect                             , 89.66    ,                                                                                                 
reflex                 , manySourcesIntoOneDirectEffect                               , 31.30    ,                                                                                                 
reflex                 , molBench                                                     , 0.08     ,                                                                                                 
reflex                 , createDataSignals                                            , 12.42    ,                                                                                                 
reflex                 , createComputations0to1                                       , 4.10     ,                                                                                                 
reflex                 , createComputations1to1                                       , 4.49     ,                                                                                                 
reflex                 , createComputations2to1                                       , 5.47     ,                                                                                                 
reflex                 , createComputations4to1                                       , 4.62     ,                                                                                                 
reflex                 , createComputations1000to1                                    , 0.03     ,                                                                                                 
reflex                 , createComputations1to2                                       , 4.19     ,                                                                                                 
reflex                 , createComputations1to4                                       , 2.18     ,                                                                                                 
reflex                 , createComputations1to8                                       , 1.68     ,                                                                                                 
reflex                 , createComputations1to1000                                    , 3.79     ,                                                                                                 
reflex                 , updateComputations1to1                                       , 6.48     ,                                                                                                 
reflex                 , updateComputations2to1                                       , 3.90     ,                                                                                                 
reflex                 , updateComputations4to1                                       , 2.74     ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 0.03     ,                                                                                                 
reflex                 , updateComputations1to2                                       , 4.23     ,                                                                                                 
reflex                 , updateComputations1to4                                       , 2.76     ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 0.17     ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 267.82   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 399.23   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 219.58   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 416.75   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 61.48    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 60.88    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 572.55   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 8.84     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 0.92     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 32x8 - 4 sources - push (pure push)                          , 106.67   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 228.28   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 165.18   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 296.70   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 494.48   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 153.71   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 0.83     ,                                                                                                 
alien-signals          , broadPropagation                                             , 0.71     ,                                                                                                 
alien-signals          , deepPropagation                                              , 0.28     ,                                                                                                 
alien-signals          , diamond                                                      , 1.02     ,                                                                                                 
alien-signals          , mux                                                          , 0.73     ,                                                                                                 
alien-signals          , repeatedObservers                                            , 0.20     ,                                                                                                 
alien-signals          , triangle                                                     , 0.33     ,                                                                                                 
alien-signals          , unstable                                                     , 0.29     ,                                                                                                 
alien-signals          , manyEffectsFromOneSource                                     , 204.27   ,                                                                                                 
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 136.16   ,                                                                                                 
alien-signals          , manySourcesIntoOneComputedEffect                             , 130.64   ,                                                                                                 
alien-signals          , manySourcesIntoOneDirectEffect                               , 32.91    ,                                                                                                 
alien-signals          , molBench                                                     , 0.10     ,                                                                                                 
alien-signals          , createDataSignals                                            , 5.48     ,                                                                                                 
alien-signals          , createComputations0to1                                       , 5.16     ,                                                                                                 
alien-signals          , createComputations1to1                                       , 6.20     ,                                                                                                 
alien-signals          , createComputations2to1                                       , 3.94     ,                                                                                                 
alien-signals          , createComputations4to1                                       , 2.77     ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 0.04     ,                                                                                                 
alien-signals          , createComputations1to2                                       , 6.03     ,                                                                                                 
alien-signals          , createComputations1to4                                       , 5.46     ,                                                                                                 
alien-signals          , createComputations1to8                                       , 4.66     ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 4.49     ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 5.77     ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 3.30     ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 1.66     ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 0.06     ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 4.20     ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 1.63     ,                                                                                                 
alien-signals          , updateComputations1to1000                                    , 0.07     ,                                                                                                 
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 302.92   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 466.00   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 249.94   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 461.86   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 77.25    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 59.71    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 590.03   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 8.76     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 1.67     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 109.83   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 246.54   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 185.53   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 296.91   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 504.54   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
alien-signals          , 5x500 - 3 sources (deep)                                     , 162.53   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
lite-signal            , avoidablePropagation                                         , 1.29     ,                                                                                                 
lite-signal            , broadPropagation                                             , 0.90     ,                                                                                                 
lite-signal            , deepPropagation                                              , 0.36     ,                                                                                                 
lite-signal            , diamond                                                      , 1.03     ,                                                                                                 
lite-signal            , mux                                                          , 0.76     ,                                                                                                 
lite-signal            , repeatedObservers                                            , 0.26     ,                                                                                                 
lite-signal            , triangle                                                     , 0.35     ,                                                                                                 
lite-signal            , unstable                                                     , 0.29     ,                                                                                                 
lite-signal            , manyEffectsFromOneSource                                     , 290.54   ,                                                                                                 
lite-signal            , manySourcesIntoOneComputedEffectWithDirect                   , 131.59   ,                                                                                                 
lite-signal            , manySourcesIntoOneComputedEffect                             , 127.28   ,                                                                                                 
lite-signal            , manySourcesIntoOneDirectEffect                               , 41.53    ,                                                                                                 
lite-signal            , molBench                                                     , 0.10     ,                                                                                                 
lite-signal            , createDataSignals                                            , 26.43    ,                                                                                                 
lite-signal            , createComputations0to1                                       , 18.16    ,                                                                                                 
lite-signal            , createComputations1to1                                       , 26.71    ,                                                                                                 
lite-signal            , createComputations2to1                                       , 19.23    ,                                                                                                 
lite-signal            , createComputations4to1                                       , 14.01    ,                                                                                                 
lite-signal            , createComputations1000to1                                    , 0.10     ,                                                                                                 
lite-signal            , createComputations1to2                                       , 18.18    ,                                                                                                 
lite-signal            , createComputations1to4                                       , 22.94    ,                                                                                                 
lite-signal            , createComputations1to8                                       , 16.43    ,                                                                                                 
lite-signal            , createComputations1to1000                                    , 17.52    ,                                                                                                 
lite-signal            , updateComputations1to1                                       , 10.88    ,                                                                                                 
lite-signal            , updateComputations2to1                                       , 6.34     ,                                                                                                 
lite-signal            , updateComputations4to1                                       , 3.18     ,                                                                                                 
lite-signal            , updateComputations1000to1                                    , 0.10     ,                                                                                                 
lite-signal            , updateComputations1to2                                       , 7.66     ,                                                                                                 
lite-signal            , updateComputations1to4                                       , 3.27     ,                                                                                                 
lite-signal            , updateComputations1to1000                                    , 0.41     ,                                                                                                 
lite-signal            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 475.73   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
lite-signal            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 723.00   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
lite-signal            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 387.22   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
lite-signal            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 715.97   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 86.52    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 81.94    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
lite-signal            , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1048.19  , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
lite-signal            , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 12.97    , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
lite-signal            , 32x8 - 4 sources - pull (pure pull)                          , 3.81     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
lite-signal            , 32x8 - 4 sources - push (pure push)                          , 179.76   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
lite-signal            , 10x5 - 2 sources - read 20% (simple component)               , 346.32   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
lite-signal            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 265.97   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
lite-signal            , 1000x12 - 4 sources - dynamic (large web app)                , 509.17   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
lite-signal            , 1000x5 - 25 sources (wide dense)                             , 674.07   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
lite-signal            , 5x500 - 3 sources (deep)                                     , 224.35   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
@solidjs/signals       , avoidablePropagation                                         , 2.40     ,                                                                                                 
@solidjs/signals       , broadPropagation                                             , 6.37     ,                                                                                                 
